"STATISTIC Label","Year","Month of Fatality","UNIT","VALUE"
"Road Fatalities","2000","All months","Number","415"
"Road Fatalities","2000","January","Number","32"
"Road Fatalities","2000","February","Number","41"
"Road Fatalities","2000","March","Number","23"
"Road Fatalities","2000","April","Number","42"
"Road Fatalities","2000","May","Number","29"
"Road Fatalities","2000","June","Number","30"
"Road Fatalities","2000","July","Number","39"
"Road Fatalities","2000","August","Number","32"
"Road Fatalities","2000","September","Number","39"
"Road Fatalities","2000","October","Number","40"
"Road Fatalities","2000","November","Number","36"
"Road Fatalities","2000","December","Number","32"
"Road Fatalities","2001","All months","Number","411"
"Road Fatalities","2001","January","Number","30"
"Road Fatalities","2001","February","Number","38"
"Road Fatalities","2001","March","Number","31"
"Road Fatalities","2001","April","Number","22"
"Road Fatalities","2001","May","Number","40"
"Road Fatalities","2001","June","Number","24"
"Road Fatalities","2001","July","Number","41"
"Road Fatalities","2001","August","Number","34"
"Road Fatalities","2001","September","Number","42"
"Road Fatalities","2001","October","Number","32"
"Road Fatalities","2001","November","Number","41"
"Road Fatalities","2001","December","Number","36"
"Road Fatalities","2002","All months","Number","376"
"Road Fatalities","2002","January","Number","35"
"Road Fatalities","2002","February","Number","33"
"Road Fatalities","2002","March","Number","34"
"Road Fatalities","2002","April","Number","32"
"Road Fatalities","2002","May","Number","20"
"Road Fatalities","2002","June","Number","34"
"Road Fatalities","2002","July","Number","42"
"Road Fatalities","2002","August","Number","35"
"Road Fatalities","2002","September","Number","36"
"Road Fatalities","2002","October","Number","31"
"Road Fatalities","2002","November","Number","23"
"Road Fatalities","2002","December","Number","21"
"Road Fatalities","2003","All months","Number","335"
"Road Fatalities","2003","January","Number","20"
"Road Fatalities","2003","February","Number","21"
"Road Fatalities","2003","March","Number","33"
"Road Fatalities","2003","April","Number","23"
"Road Fatalities","2003","May","Number","38"
"Road Fatalities","2003","June","Number","37"
"Road Fatalities","2003","July","Number","32"
"Road Fatalities","2003","August","Number","26"
"Road Fatalities","2003","September","Number","20"
"Road Fatalities","2003","October","Number","34"
"Road Fatalities","2003","November","Number","30"
"Road Fatalities","2003","December","Number","21"
"Road Fatalities","2004","All months","Number","374"
"Road Fatalities","2004","January","Number","32"
"Road Fatalities","2004","February","Number","36"
"Road Fatalities","2004","March","Number","25"
"Road Fatalities","2004","April","Number","27"
"Road Fatalities","2004","May","Number","26"
"Road Fatalities","2004","June","Number","36"
"Road Fatalities","2004","July","Number","38"
"Road Fatalities","2004","August","Number","35"
"Road Fatalities","2004","September","Number","34"
"Road Fatalities","2004","October","Number","22"
"Road Fatalities","2004","November","Number","29"
"Road Fatalities","2004","December","Number","34"
"Road Fatalities","2005","All months","Number","396"
"Road Fatalities","2005","January","Number","33"
"Road Fatalities","2005","February","Number","37"
"Road Fatalities","2005","March","Number","26"
"Road Fatalities","2005","April","Number","23"
"Road Fatalities","2005","May","Number","41"
"Road Fatalities","2005","June","Number","22"
"Road Fatalities","2005","July","Number","41"
"Road Fatalities","2005","August","Number","24"
"Road Fatalities","2005","September","Number","31"
"Road Fatalities","2005","October","Number","44"
"Road Fatalities","2005","November","Number","34"
"Road Fatalities","2005","December","Number","40"
"Road Fatalities","2006","All months","Number","365"
"Road Fatalities","2006","January","Number","40"
"Road Fatalities","2006","February","Number","31"
"Road Fatalities","2006","March","Number","27"
"Road Fatalities","2006","April","Number","37"
"Road Fatalities","2006","May","Number","30"
"Road Fatalities","2006","June","Number","32"
"Road Fatalities","2006","July","Number","38"
"Road Fatalities","2006","August","Number","17"
"Road Fatalities","2006","September","Number","23"
"Road Fatalities","2006","October","Number","32"
"Road Fatalities","2006","November","Number","27"
"Road Fatalities","2006","December","Number","31"
"Road Fatalities","2007","All months","Number","338"
"Road Fatalities","2007","January","Number","22"
"Road Fatalities","2007","February","Number","25"
"Road Fatalities","2007","March","Number","34"
"Road Fatalities","2007","April","Number","30"
"Road Fatalities","2007","May","Number","24"
"Road Fatalities","2007","June","Number","29"
"Road Fatalities","2007","July","Number","31"
"Road Fatalities","2007","August","Number","28"
"Road Fatalities","2007","September","Number","28"
"Road Fatalities","2007","October","Number","27"
"Road Fatalities","2007","November","Number","23"
"Road Fatalities","2007","December","Number","37"
"Road Fatalities","2008","All months","Number","279"
"Road Fatalities","2008","January","Number","25"
"Road Fatalities","2008","February","Number","32"
"Road Fatalities","2008","March","Number","20"
"Road Fatalities","2008","April","Number","19"
"Road Fatalities","2008","May","Number","19"
"Road Fatalities","2008","June","Number","28"
"Road Fatalities","2008","July","Number","26"
"Road Fatalities","2008","August","Number","28"
"Road Fatalities","2008","September","Number","19"
"Road Fatalities","2008","October","Number","22"
"Road Fatalities","2008","November","Number","22"
"Road Fatalities","2008","December","Number","19"
"Road Fatalities","2009","All months","Number","238"
"Road Fatalities","2009","January","Number","18"
"Road Fatalities","2009","February","Number","15"
"Road Fatalities","2009","March","Number","24"
"Road Fatalities","2009","April","Number","20"
"Road Fatalities","2009","May","Number","28"
"Road Fatalities","2009","June","Number","15"
"Road Fatalities","2009","July","Number","19"
"Road Fatalities","2009","August","Number","20"
"Road Fatalities","2009","September","Number","14"
"Road Fatalities","2009","October","Number","22"
"Road Fatalities","2009","November","Number","25"
"Road Fatalities","2009","December","Number","18"
"Road Fatalities","2010","All months","Number","212"
"Road Fatalities","2010","January","Number","15"
"Road Fatalities","2010","February","Number","14"
"Road Fatalities","2010","March","Number","12"
"Road Fatalities","2010","April","Number","19"
"Road Fatalities","2010","May","Number","28"
"Road Fatalities","2010","June","Number","11"
"Road Fatalities","2010","July","Number","21"
"Road Fatalities","2010","August","Number","19"
"Road Fatalities","2010","September","Number","13"
"Road Fatalities","2010","October","Number","36"
"Road Fatalities","2010","November","Number","14"
"Road Fatalities","2010","December","Number","10"
"Road Fatalities","2011","All months","Number","186"
"Road Fatalities","2011","January","Number","21"
"Road Fatalities","2011","February","Number","18"
"Road Fatalities","2011","March","Number","15"
"Road Fatalities","2011","April","Number","8"
"Road Fatalities","2011","May","Number","11"
"Road Fatalities","2011","June","Number","15"
"Road Fatalities","2011","July","Number","18"
"Road Fatalities","2011","August","Number","16"
"Road Fatalities","2011","September","Number","13"
"Road Fatalities","2011","October","Number","15"
"Road Fatalities","2011","November","Number","18"
"Road Fatalities","2011","December","Number","18"
"Road Fatalities","2012","All months","Number","163"
"Road Fatalities","2012","January","Number","10"
"Road Fatalities","2012","February","Number","13"
"Road Fatalities","2012","March","Number","13"
"Road Fatalities","2012","April","Number","16"
"Road Fatalities","2012","May","Number","13"
"Road Fatalities","2012","June","Number","26"
"Road Fatalities","2012","July","Number","15"
"Road Fatalities","2012","August","Number","12"
"Road Fatalities","2012","September","Number","10"
"Road Fatalities","2012","October","Number","15"
"Road Fatalities","2012","November","Number","8"
"Road Fatalities","2012","December","Number","12"
"Road Fatalities","2013","All months","Number","188"
"Road Fatalities","2013","January","Number","19"
"Road Fatalities","2013","February","Number","14"
"Road Fatalities","2013","March","Number","15"
"Road Fatalities","2013","April","Number","12"
"Road Fatalities","2013","May","Number","17"
"Road Fatalities","2013","June","Number","13"
"Road Fatalities","2013","July","Number","18"
"Road Fatalities","2013","August","Number","19"
"Road Fatalities","2013","September","Number","17"
"Road Fatalities","2013","October","Number","13"
"Road Fatalities","2013","November","Number","15"
"Road Fatalities","2013","December","Number","16"
"Road Fatalities","2014","All months","Number","192"
"Road Fatalities","2014","January","Number","16"
"Road Fatalities","2014","February","Number","13"
"Road Fatalities","2014","March","Number","15"
"Road Fatalities","2014","April","Number","14"
"Road Fatalities","2014","May","Number","18"
"Road Fatalities","2014","June","Number","18"
"Road Fatalities","2014","July","Number","18"
"Road Fatalities","2014","August","Number","15"
"Road Fatalities","2014","September","Number","11"
